,meterID,testYear,installationYear,meterSize,meterMake,accuracy,gallons_lost
1,85381440,2018,2007,0.625,NEPTUNE,0.0,100.0
33,6318285,2019,1952,0.625,TRIDENT,4.45,95.55
152,89018598,2018,2010,0.625,NEPTUNE,0.0,100.0
170,14923089,2018,1958,0.625,TRIDENT,1.05,98.95
183,1554056,2019,1957,0.625,TRIDENT,0.0,100.0
296,2039751,2019,1952,0.625,TRIDENT,21.69,78.31
328,29101561,2019,2004,1.0,BADGER,0.0,100.0
426,9301596,2019,1971,0.625,BADGER,0.0,100.0
472,10668529,2018,1955,0.625,TRIDENT,15.0,85.0
517,84833853,2019,2007,0.625,NEPTUNE,0.01,99.99
522,9211419,2018,1965,0.625,BADGER,0.0,100.0
603,11684342,2018,1957,0.625,TRIDENT,-3.8,103.8
611,83101099,2019,2006,0.625,NEPTUNE,0.0,100.0
862,34568322,2019,1990,0.625,NEPTUNE,15.12,84.88
863,14642573,2018,1959,0.625,TRIDENT,-3.8,103.8
900,83617971,2018,2007,0.625,NEPTUNE,0.0,100.0
925,30179765,2018,1985,0.625,NEPTUNE,14.97,85.03
1022,8611157,2019,2005,0.625,NEPTUNE,-3.87,103.87
1041,6386469,2018,1951,0.625,TRIDENT,14.87,85.13
1099,89017690,2018,2010,0.625,NEPTUNE,0.0,100.0
1156,17417483,2019,2001,0.625,BADGER,26.3,73.7
1217,17207008,2018,2001,0.625,BADGER,0.0,100.0
1229,43431862,2019,1997,0.625,NEPTUNE,-3.88,103.88
1249,85378549,2019,2007,0.625,NEPTUNE,-3.84,103.84
1280,92111490,2018,1971,0.625,BADGER,0.0,100.0
1343,42949691,2018,1997,0.625,NEPTUNE,-3.9,103.9
1397,39010037,2019,1993,0.625,NEPTUNE,14.7,85.3
1419,6039594,2018,1957,0.625,TRIDENT,-3.81,103.81
1458,10204331,2018,1951,0.625,TRIDENT,0.0,100.0
1528,2713329,2019,1952,0.625,TRIDENT,20.84,79.16
1606,36443486,2019,1991,0.625,NEPTUNE,24.5,75.5
1628,12463162,2019,1958,0.625,TRIDENT,0.0,100.0
1640,85379066,2018,2007,0.625,NEPTUNE,0.08,99.92
1737,85379072,2018,2007,0.625,NEPTUNE,-3.87,103.87
1763,29950608,2018,1980,0.625,NEPTUNE,18.81,81.19
1793,36023434,2019,1991,0.625,NEPTUNE,21.0,79.0
1864,479376,2018,1959,0.625,TRIDENT,0.0,100.0
